File,Area,Comment
Índice_1,COSTA E ILHAS AO LARGO,
Índice_2,DA BAÍA DO OIAPOQUE À ILHA DE SANTANA,
Índice_3,BACIA AMAZÔNICA,
Índice_4,DA ILHA DE SANTANA A MACAU,
Índice_5,DE MACAU A MACEIÓ,
Índice_6,DE MACEIÓ À FOZ DO RIO DOCE,
Índice_7,BAÍA DE TODOS OS SANTOS,
Índice_8,DA FOZ DO RIO DOCE À BAÍA DE GUANABARA,
Índice_9,BAÍA DE GUANABARA E LAGOA RODRIGO DE FREITAS,
Índice_10,DA BAÍA DE GUANABARA À ILHA DE SANTA CATARINA,
Índice_11,DA BAÍA DE GUANABARA À ILHA DE SÃO SEBASTIÃO,
Índice_12,DA ILHA DE BOM ABRIGO À ILHA DO ARVOREDO,
Índice_13,DA ILHA DE SANTA CATARINA A TORRES,
Índice_14,DE TORRES AO CABO POLÔNIO,
Índice_15,CARTAS DO ATLÂNTICO SUL E ANTÁRTICA,
Índice_16,LAGOA DOS PATOS,
Índice_17,LAGO DE BRASÍLIA,
Índice_18,RIO PARAGUAI - DE CORUMBÁ A ASSUNÇÃO,
Índice_19,RIO PARAGUAI - DE CÁCERES A CORUMBÁ ; RIO CUIABÁ - DA FOZ A CUIABÁ,
Índice_20,HIDROVIA TIETÊ-PARANÁ,
